"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,0,,
"FIN","Finland","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,0,,
"DEU","Germany","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,8603,,
"DEU","Germany","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,6901,,
"DEU","Germany","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,9668,,
"DEU","Germany","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,18062,,
"DEU","Germany","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,9333,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-2888.223,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-2048.903,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-5854.708,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-7645.621,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-2888.473,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-4437.428,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-4557.25,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-4634.75,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-4684.878,,
"ITA","Italy","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-4571.203,,
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","JPY","Yen","9","billions",,,-89.1,,
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","JPY","Yen","9","billions",,,-181.9,,
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","JPY","Yen","9","billions",,,-333.4,,
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","JPY","Yen","9","billions",,,-271.1,,
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions",,,-322.7,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","JPY","Yen","9","billions","2005","2005",-198.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","JPY","Yen","9","billions","2005","2005",-285.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","JPY","Yen","9","billions","2005","2005",-423,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","JPY","Yen","9","billions","2005","2005",-384,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions","2005","2005",-427.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","JPY","Yen","9","billions","2005","2005",-215.775,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","JPY","Yen","9","billions","2005","2005",-308.125,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","JPY","Yen","9","billions","2005","2005",-351.825,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","JPY","Yen","9","billions","2005","2005",-409.175,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions","2005","2005",-452.25,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","KRW","Won","9","billions",,,1252.2,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","KRW","Won","9","billions",,,2451.2,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","KRW","Won","9","billions",,,2497.7,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","KRW","Won","9","billions",,,3882.5,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","KRW","Won","9","billions",,,3079.8,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","KRW","Won","9","billions","2010","2010",1424.417298,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","KRW","Won","9","billions","2010","2010",2840.648599,,
